benchmark,n_models,first_date,current_sota,crossed_90,crossed_95,projected_95
adversarial_nli,15,2022-01-27,0.581,,,2031-12-21
aider_polyglot,72,2024-03-26,0.88,,,2025-10-04
apex_agents,49,2024-11-20,0.496,,,2027-12-03
arc_agi,158,2024-09-12,0.98,2025-12-01,2026-02-01,
arc_agi_2,158,2024-07-18,0.925,2026-07-01,,2026-06-19
arc_ai2,133,2019-11-05,0.953,2024-04-01,2024-07-01,
balrog,36,2024-05-13,0.581,,,2030-01-17
bbh,88,2023-02-24,0.892,,,2025-04-23
bool_q,123,2019-11-05,0.909,2023-05-01,,
cad_eval,14,2024-03-07,0.74,,,2025-11-14
chess_puzzles,56,2025-01-31,0.64,,,2027-10-26
cl_bench,22,2025-04-16,0.279,,,2032-02-13
cl_bench_life,16,2025-09-29,0.222,,,2028-12-24
common_sense_qa_2,3,2022-01-27,0.57,,,
critpt,69,2024-07-23,0.323,,,2028-01-31
cybench,22,2024-02-15,0.93,2026-02-01,,2026-09-09
exploitbench,17,2025-10-15,0.41,,,2027-03-26
fictionlivebench,42,2024-12-17,1.0,2025-03-01,2025-04-01,
frontiercode,11,2026-01-27,0.134,,,
frontiermath,101,2024-06-20,0.524,,,2027-11-24
frontiermath_tier_4,72,2024-06-20,0.479,,,2027-06-22
gbaeval,16,2026-02-05,0.745,,,2026-12-05
gdp_pdf,9,2025-12-17,0.3,,,2027-10-10
gdpval,11,2024-11-20,0.497,,,2027-03-18
gpqa_diamond,181,2023-03-14,0.946,2025-11-01,,2026-08-21
gsm8k,162,2020-06-22,0.945,2023-03-01,,
gso,36,2024-10-22,0.441,,,2027-06-12
hella_swag,107,2019-11-05,0.953,2023-03-01,2023-03-01,
hle,51,2024-09-24,0.464,,,2027-12-17
lambada,53,2021-12-08,0.872,,,
live_bench,52,2024-02-29,0.823,,,2026-08-06
math_level_5,108,2023-06-13,0.981,2024-12-01,2025-01-01,
mmlu,215,2021-08-05,0.881,,,
open_book_qa,70,2019-11-05,0.88,,,2025-06-16
os_world,20,2024-09-19,0.721,,,2026-10-07
osworld_2,9,2026-02-17,0.206,,,2027-10-24
otis_mock_aime_2024_2025,154,2023-03-14,1.0,2025-08-01,2025-12-01,
piqa,112,2019-11-05,0.887,,,
posttrainbench,30,2025-09-24,0.343,,,2028-04-30
rli,10,2025-06-05,0.161,,,2027-09-04
scicode,68,2024-07-23,0.602,,,2029-01-16
science_qa,26,2022-01-27,0.913,2024-08-01,,
simplebench,91,2024-02-29,0.819,,,2027-06-18
simpleqa_verified,64,2024-10-22,0.773,,,2026-09-14
superglue,1,2022-01-27,0.718,,,
swe_bench_verified,35,2024-11-20,0.835,,,2026-12-08
terminalbench,203,2025-06-17,0.902,2026-04-01,,2026-08-03
the_agent_company,16,2024-06-07,0.524,,,2027-09-10
trivia_qa,113,2021-12-08,0.876,,,
video_mme,50,2023-08-20,0.797,,,2026-12-10
vpct,38,2024-06-20,0.91,2025-11-01,,2027-01-11
weirdml,144,2023-06-13,0.888,,,2027-06-15
wino_grande,137,2019-11-05,0.892,,,
